Income,Value
54,21.25373134
80,18.76333333
65,17.6
51,21.70666667
83,9.725862069
78,11.7640625
80,8.4125
71,9.166666667
92,9.9
62,13.64179104
63,19.97358491
87,11.46
63,11.525
71,15.08627451
61,14.81086957
62,14.18181818
63,14.9752381
54,18.44083333
52,21.0796875
59,11.98125
89,10.12083333
87,8.185714286
61,14.07951807
75,12.63103448
47,24.50731707
59,17.76434783
58,16.00892857
65,15.02903226
65,12.84117647
81,8.7
87,8.49047619
52,22.9969697
73,12.02258065
60,16.682
64,15.34716981
60,13.83181818
55,19.06753247
68,11.42777778
65,14.17910448
74,8.34
57,19.12608696
61,17.57878788
57,18.39368421
66,17.90669291
78,9.85862069
68,11.22142857
79,16.00526316
80,10.05384615
49,18.54363636
65,12.95
67,11.13043478
