state,internet,education
Alabama,21.25373134,84.26567164
Alaska,18.76333333,91.20357143
Arizona,17.6,85.72
Arkansas,21.70666667,85.55066667
California,9.725862069,85.50517241
Colorado,11.7640625,92.003125
Connecticut,8.4125,92.0875
Delaware,9.166666667,90.36666667
District of Columbia,9.9,92.2
Florida,13.64179104,86.37462687
Georgia,19.97358491,83.6836478
Hawaii,11.46,92.88
Idaho,11.525,88.05
Illinois,15.08627451,90.37352941
Indiana,14.81086957,88.94130435
Iowa,14.18181818,92.24949495
Kansas,14.9752381,90.58190476
Kentucky,18.44083333,83.82083333
Louisiana,21.0796875,82.9078125
Maine,11.98125,93.04375
Maryland,10.12083333,90.67916667
Massachusetts,8.185714286,92.2
Michigan,14.07951807,91.43855422
Minnesota,12.63103448,92.77356322
Mississippi,24.50731707,82.55
Missouri,17.76434783,87.91217391
Montana,16.00892857,92.79107143
Nebraska,15.02903226,92.00645161
Nevada,12.84117647,88.55882353
New Hampshire,8.7,93.04
New Jersey,8.49047619,90.87142857
New Mexico,22.9969697,85.54242424
New York,12.02258065,89.61129032
North Carolina,16.682,86.666
North Dakota,15.34716981,91.55490196
Ohio,13.83181818,89.84545455
Oklahoma,19.06753247,86.92337662
Oregon,11.42777778,89.86111111
Pennsylvania,14.17910448,90.6880597
Rhode Island,8.34,91.74
South Carolina,19.12608696,85.42391304
South Dakota,17.57878788,90.74153846
Tennessee,18.39368421,85.21894737
Texas,17.90669291,82.2988189
Utah,9.85862069,92.8862069
Vermont,11.22142857,93.36428571
Virginia,16.00526316,87.99097744
Washington,10.05384615,89.79487179
West Virginia,18.54363636,86.21090909
Wisconsin,12.95,92.63333333
Wyoming,11.13043478,93.5173913
